date,sentiment_trimmed_mean,sentiment_mean,sentiment_median,article_count
2025-04-07,-0.09067142857142856,-0.07728837209302326,-0.1779,86
2025-04-08,-0.08043333333333333,-0.07637073170731706,0.0,41
2025-04-09,0.16273561643835618,0.13922921348314607,0.0258,89
2025-04-10,0.1214294117647059,0.1101,0.0772,21
2025-04-14,0.2875469135802469,0.24435940594059405,0.34,101
2025-04-15,0.1013109090909091,0.09292537313432837,0.0258,67
2025-04-16,-0.04488387096774192,-0.037851351351351356,0.0,37
2025-04-17,0.13258695652173916,0.12177407407407408,0.1531,27
2025-04-21,0.11959818181818181,0.10737611940298507,0.0,67
2025-04-22,0.21222666666666665,0.194825,0.06505,36
2025-04-23,-0.03688787878787878,-0.03234390243902439,0.0,41
2025-04-24,0.21956129032258065,0.1945,0.3612,37
2025-04-25,-0.03898235294117646,-0.019830952380952383,-0.17770000000000002,42
2025-04-28,0.2720461538461538,0.27230000000000004,0.2023,15
2025-04-29,-0.3182,-0.3182,-0.3182,1
2025-04-30,0.10810909090909092,0.09718846153846156,0.0,26
2025-05-01,-0.06116190476190475,-0.054113461538461534,0.0,52
2025-05-02,0.055456521739130446,0.053124561403508776,0.0,114
