date,open,high,low,close,volume,log_return
2024-10-01,229.52,229.65,223.74,226.21,63285048,
2024-10-02,225.89,227.37,223.02,226.78,32880605,0.002516613173949516
2024-10-03,225.14,226.81,223.32,225.67,34044200,-0.004906629359874915
2024-10-04,227.9,228.0,224.13,226.8,37345098,0.004994816669778129
2024-10-07,224.5,225.69,221.33,221.69,39505400,-0.02278856224773533
2024-10-08,224.3,225.98,223.25,225.77,31855700,0.018236772344019592
2024-10-09,225.23,229.75,224.83,229.54,33591100,0.01656052430264099
2024-10-10,227.78,229.5,227.17,229.04,28183544,-0.0021806454626626935
2024-10-11,229.3,229.41,227.34,227.55,31759200,-0.006526666327208577
2024-10-14,228.7,231.73,228.6,231.3,39882100,0.016345574774742577
2024-10-15,233.61,237.49,232.37,233.85,64751400,0.010964314934501682
2024-10-16,231.6,232.12,229.84,231.78,34082240,-0.008891238265650197
2024-10-17,233.43,233.85,230.52,232.15,32993810,0.0015950685596858294
2024-10-18,236.18,236.18,234.01,235.0,46431500,0.012201799678228265
2024-10-21,234.45,236.85,234.45,236.48,36254500,0.006278123615677908
2024-10-22,233.89,236.22,232.6,235.86,38846600,-0.002625229098012868
2024-10-23,234.08,235.14,227.76,230.76,52287000,-0.02186019927313537
2024-10-24,229.98,230.82,228.41,230.57,31109503,-0.0008237054201667888
2024-10-25,229.74,233.22,229.57,231.41,38802304,0.003636525069058395
2024-10-28,233.32,234.73,232.55,233.4,36087134,0.008562690814875203
2024-10-29,233.1,234.33,232.32,233.67,35417247,0.0011561437475111353
2024-10-30,232.61,233.47,229.55,230.1,47070907,-0.015395866558646653
2024-10-31,229.34,229.83,225.37,225.91,64370100,-0.018377307172189244
2024-11-01,220.97,225.35,220.27,222.91,65276741,-0.013368587316289905
2024-11-04,220.99,222.79,219.71,222.01,44944500,-0.004045676650014111
2024-11-05,221.8,223.95,221.14,223.45,28111338,0.0064652494766336294
2024-11-06,222.61,226.07,221.19,222.72,54561121,-0.0032722982334056835
2024-11-07,224.63,227.88,224.57,227.48,42137700,0.02114694529254415
2024-11-08,227.17,228.66,226.41,226.96,38328824,-0.0022885319380029265
2024-11-11,225.0,225.7,221.5,224.23,42005602,-0.012101479715156712
2024-11-12,224.55,225.59,223.36,224.23,40398300,0.0
2024-11-13,224.01,226.65,222.76,225.12,48566217,0.003961282580639748
2024-11-14,225.02,228.87,225.0,228.22,44923941,0.013676482640454679
2024-11-15,226.4,226.92,224.27,225.0,47923700,-0.014209673802113448
2024-11-18,225.25,229.74,225.17,228.02,44686020,0.013332942201153587
2024-11-19,226.98,230.16,226.66,228.28,36211800,0.0011396012629335743
2024-11-20,228.06,229.93,225.89,229.0,35169600,0.0031490578857323766
2024-11-21,228.88,230.16,225.71,228.52,42108327,-0.0020982696979778065
2024-11-22,228.06,230.72,228.06,229.87,38168300,0.005890197880063815
2024-11-25,231.46,233.25,229.74,232.87,90152832,0.012966426208818584
2024-11-26,233.33,235.57,233.33,235.06,45986200,0.009360442759563672
2024-11-27,234.47,235.69,233.81,234.93,33498439,-0.0005532032737520651
2024-11-29,234.81,237.81,233.97,237.33,28481400,0.010163980270458799
2024-12-02,237.27,240.79,237.16,239.59,48137103,0.009477551441854002
2024-12-03,239.81,242.76,238.9,242.65,38861017,0.01269094670795666
2024-12-04,242.87,244.11,241.25,243.01,44383935,0.0014825189059665656
2024-12-05,243.99,244.54,242.13,243.04,40033900,0.00012344409027086238
2024-12-06,242.91,244.63,242.08,242.84,36870619,-0.0008232485852293405
2024-12-09,241.83,247.24,241.75,246.75,44649232,0.015972888051357558
2024-12-10,246.89,248.21,245.34,247.77,36914806,0.004125218177144301
2024-12-11,247.96,250.8,246.26,246.49,45205814,-0.005179471782210545
2024-12-12,246.89,248.74,245.68,247.96,32777532,0.00594601812519399
2024-12-13,247.82,249.29,246.24,248.13,33155300,0.000685359538206058
2024-12-16,247.99,251.38,247.65,251.04,51694800,0.011659486612797755
2024-12-17,250.08,253.83,249.78,253.48,51356400,0.009672635470593672
2024-12-18,252.16,254.28,247.74,248.05,56774101,-0.02165458570825826
2024-12-19,247.5,252.0,247.09,249.79,60882300,0.0069902261174959015
2024-12-20,248.04,255.0,245.69,254.49,147495300,0.018640977623199214
2024-12-23,254.77,255.65,253.45,255.27,40858800,0.0030602660418225774
2024-12-24,255.49,258.21,255.29,258.2,23234705,0.011412669882966294
2024-12-26,258.19,260.1,257.63,259.02,27262983,0.0031708003828989626
2024-12-27,257.83,258.7,253.06,255.59,42355321,-0.0133306806880835
2024-12-30,252.23,253.5,250.75,252.2,35557542,-0.013352174576538492
2024-12-31,252.44,253.28,249.43,250.42,39480718,-0.007082915290017538
2025-01-02,248.93,249.1,241.82,243.85,55740731,-0.026586226084739983
2025-01-03,243.36,244.18,241.89,243.36,40244114,-0.0020114536450788353
2025-01-06,244.31,247.33,243.2,245.0,45045600,0.006716382033744203
2025-01-07,242.98,245.55,241.35,242.21,40856000,-0.011453092086491822
2025-01-08,241.92,243.71,240.05,242.7,37628940,0.0020209942743203797
2025-01-10,240.01,240.16,233.0,236.85,61710900,-0.024399083362794845
2025-01-13,233.53,234.67,229.72,234.4,49630725,-0.010397971666903203
2025-01-14,234.75,236.12,232.47,233.28,39435300,-0.004789608882564205
2025-01-15,234.64,238.96,234.43,237.87,39832000,0.019484857132124
2025-01-16,237.35,238.01,228.03,228.26,71759100,-0.041238975826963314
2025-01-17,232.12,232.29,228.48,229.98,68488301,0.007507018495064835
2025-01-21,224.0,224.42,219.38,222.64,98070429,-0.03243623140288344
2025-01-22,219.79,224.12,219.79,223.83,64126500,0.005330717933897527
2025-01-23,224.74,227.03,222.3,223.66,60234800,-0.0007597935514905356
2025-01-24,224.78,225.63,221.41,222.78,54697907,-0.003942304182998584
2025-01-27,224.02,232.15,223.98,229.86,94863418,0.03128569052356898
2025-01-28,230.85,240.19,230.81,238.26,75707600,0.035892086430602384
2025-01-29,234.12,239.86,234.01,239.36,45486100,0.004606180414897502
