date,sentiment_trimmed_mean,sentiment_mean,sentiment_median,article_count
2025-04-07,-0.23186190476190474,-0.203872,-0.25,25
2025-04-08,-0.08043333333333333,-0.07637073170731706,0.0,41
2025-04-09,0.16273561643835618,0.13922921348314607,0.0258,89
2025-04-10,0.14598035714285715,0.12645882352941176,0.13975,68
2025-04-11,0.07042857142857138,0.060450000000000004,0.34,16
2025-04-14,0.31536507936507935,0.2784844155844156,0.3818,77
2025-04-15,0.1013109090909091,0.09292537313432837,0.0258,67
2025-04-16,-0.04638000000000001,-0.03890277777777778,0.0,36
2025-04-17,0.13258695652173916,0.12177407407407408,0.1531,27
2025-04-21,0.1332366666666667,0.11958783783783783,0.0,74
2025-04-22,0.21222666666666665,0.194825,0.06505,36
2025-04-23,-0.03688787878787878,-0.03234390243902439,0.0,41
2025-04-24,0.21956129032258065,0.1945,0.3612,37
2025-04-25,-0.03898235294117646,-0.019830952380952383,-0.17770000000000002,42
2025-04-28,0.3457666666666667,0.333248,0.2732,25
2025-04-30,0.30962222222222224,0.30962222222222224,0.0,9
2025-05-01,-0.06116190476190475,-0.054113461538461534,0.0,52
2025-05-02,0.05606593406593407,0.05359469026548673,0.0,113
2025-05-05,0.2199051282051282,0.19767021276595745,0.1531,47
2025-05-06,0.20095,0.20095,0.20095,2
2025-05-07,0.09002083333333333,0.08757999999999999,0.0129,30
2025-05-08,0.07851481481481482,0.06569393939393939,0.0,66
2025-05-09,0.16535454545454545,0.1355658536585366,0.0,41
2025-05-12,0.2105809523809524,0.17825454545454544,0.25,77
2025-05-13,0.6182142857142858,0.6182142857142857,0.7184,7
2025-05-15,0.12409393939393941,0.10941282051282052,0.128,39
2025-05-16,0.12433541666666666,0.12363275862068966,0.0,58
2025-05-19,0.247769696969697,0.22507439024390244,0.2691,82
2025-05-20,0.25671470588235296,0.22036666666666666,0.3609,42
2025-05-21,0.37192,0.37192,0.4588,5
2025-05-23,-0.4012333333333333,-0.3477454545454546,-0.4588,55
2025-05-27,-0.16153707865168537,-0.14092522522522521,-0.0772,111
2025-05-28,0.15825277777777777,0.14924090909090906,0.11535000000000001,44
2025-05-29,0.31745357142857145,0.27330000000000004,0.3291,34
2025-05-30,0.29424838709677414,0.3006432432432432,0.2023,37
