date,sentiment_trimmed_mean,sentiment_mean,sentiment_median,article_count
2025-04-07,0.3149578947368421,0.2726717391304348,0.34105,46
2025-04-08,0.1489217391304348,0.13183703703703703,0.2023,27
2025-04-09,0.2746780487804878,0.25718367346938775,0.2732,49
2025-04-10,0.24240000000000003,0.20718064516129034,0.3612,31
2025-04-11,0.22755151515151514,0.21446097560975608,0.2023,41
2025-04-14,0.32830000000000004,0.2870214285714286,0.31189999999999996,56
2025-04-15,0.20671481481481482,0.1772090909090909,0.0,33
2025-04-16,-0.013655882352941188,-0.010457142857142861,0.0,42
2025-04-17,0.177712,0.17025806451612904,0.0,31
2025-04-21,-0.1375294117647059,-0.11116190476190477,-0.1154,21
2025-04-22,0.10915384615384616,0.12238666666666666,0.0,15
2025-04-23,0.2970294117647059,0.26676666666666665,0.3066,42
2025-04-24,0.16608518518518517,0.1487,0.0,33
2025-04-25,0.33907916666666665,0.31020749999999997,0.3291,120
2025-04-28,0.36389999999999995,0.31613731343283585,0.4019,67
2025-04-29,0.383048,0.3508741935483871,0.4939,31
2025-04-30,0.28896666666666665,0.25472222222222224,0.3069,36
2025-05-01,0.36489166666666667,0.325425,0.4019,60
2025-05-02,0.45142424242424245,0.39338292682926823,0.6597,41
