date,sentiment_trimmed_mean,sentiment_mean,sentiment_median,article_count
2025-04-07,0.3149578947368421,0.2726717391304348,0.34105,46
2025-04-08,0.1489217391304348,0.13183703703703703,0.2023,27
2025-04-09,0.2746780487804878,0.25718367346938775,0.2732,49
2025-04-10,0.2809510204081633,0.24966101694915255,0.296,59
2025-04-11,0.2293892857142857,0.2222294117647059,0.2143,34
2025-04-14,0.32830000000000004,0.2870214285714286,0.31189999999999996,56
2025-04-15,0.20671481481481482,0.1772090909090909,0.0,33
2025-04-16,-0.013655882352941188,-0.010457142857142861,0.0,42
2025-04-17,0.177712,0.17025806451612904,0.0,31
2025-04-21,0.06530243902439024,0.056916326530612245,0.0,49
2025-04-23,0.2970294117647059,0.26676666666666665,0.3066,42
2025-04-24,0.16608518518518517,0.1487,0.0,33
2025-04-25,0.33907916666666665,0.31020749999999997,0.3291,120
2025-04-28,0.4150237288135593,0.3626095890410959,0.4215,73
2025-04-29,0.383048,0.3508741935483871,0.4939,31
2025-04-30,0.28896666666666665,0.25472222222222224,0.3069,36
2025-05-01,0.36489166666666667,0.325425,0.4019,60
2025-05-02,0.45142424242424245,0.39338292682926823,0.6597,41
2025-05-05,0.256092,0.22309354838709677,0.3912,31
2025-05-06,0.45065,0.45065,0.45065,2
2025-05-07,0.4112961538461538,0.380596875,0.44255,32
2025-05-08,0.18030576923076921,0.1584578125,0.06425,64
2025-05-09,0.24617073170731707,0.22165294117647058,0.25,51
2025-05-12,0.3143056603773585,0.27700615384615385,0.34,65
2025-05-13,0.527475,0.527475,0.6145,4
2025-05-14,0.22682758620689653,0.19722571428571428,0.2732,35
2025-05-15,0.3407138888888889,0.29772727272727273,0.3144,44
2025-05-16,0.275492,0.24080000000000001,0.2933,31
2025-05-19,0.3937296296296296,0.34312121212121216,0.44015,66
2025-05-20,0.2853461538461538,0.25713191489361703,0.3818,47
2025-05-21,0.06616399999999999,0.0637258064516129,0.0,31
2025-05-22,0.218795744680851,0.18475438596491228,0.2023,57
2025-05-23,0.2554705882352941,0.22454285714285713,0.08335000000000001,42
2025-05-27,0.1960148148148148,0.1679469696969697,0.3612,66
2025-05-28,0.269512,0.22619032258064514,0.296,31
2025-05-29,0.3235451612903226,0.28669459459459457,0.4215,37
2025-05-30,0.3455696969696969,0.3258076923076923,0.3818,39
